"time","model.root.$wallTime","model.root.fmu.$wallTime","system.fmu.time","system.fmu.x","system.fmu.der(x)","system.fmu.k"
0.291, 0.001050468, 7.8225e-05, 0.2, 0.81, -0.81, 1
0.292, 0.001053978, 7.8484e-05, 0.2, 0.81, -0.81, 1
0.293, 0.001057479, 7.8745e-05, 0.2, 0.81, -0.81, 1
0.294, 0.001061049, 7.9007e-05, 0.2, 0.81, -0.81, 1
0.295, 0.001064549, 7.9266e-05, 0.2, 0.81, -0.81, 1
0.296, 0.001068139, 7.9525e-05, 0.2, 0.81, -0.81, 1
0.297, 0.00107163, 7.9775e-05, 0.2, 0.81, -0.81, 1
0.298, 0.00107522, 8.0025e-05, 0.2, 0.81, -0.81, 1
0.299, 0.00107871, 8.0285e-05, 0.2, 0.81, -0.81, 1
0.3, 0.00108255, 8.0685e-05, 0.3, 0.729, -0.729, 1
0.301, 0.00108612, 8.0945e-05, 0.3, 0.729, -0.729, 1
0.302, 0.00108984, 8.1205e-05, 0.3, 0.729, -0.729, 1
0.303, 0.00109337, 8.1465e-05, 0.3, 0.729, -0.729, 1
0.304, 0.00109694, 8.1725e-05, 0.3, 0.729, -0.729, 1
0.305, 0.00110043, 8.1984e-05, 0.3, 0.729, -0.729, 1
0.306, 0.001103999, 8.2255e-05, 0.3, 0.729, -0.729, 1
0.307, 0.001107639, 8.2515e-05, 0.3, 0.729, -0.729, 1
0.308, 0.001111168, 8.2763e-05, 0.3, 0.729, -0.729, 1
0.309, 0.001114769, 8.3011e-05, 0.3, 0.729, -0.729, 1
0.31, 0.001118369, 8.3271e-05, 0.3, 0.729, -0.729, 1
0.311, 0.001121988, 8.3529e-05, 0.3, 0.729, -0.729, 1
0.312, 0.001125567, 8.378e-05, 0.3, 0.729, -0.729, 1
0.313, 0.001129238, 8.4031e-05, 0.3, 0.729, -0.729, 1
0.314, 0.001132848, 8.429e-05, 0.3, 0.729, -0.729, 1
0.315, 0.001136498, 8.4539e-05, 0.3, 0.729, -0.729, 1
0.316, 0.001140138, 8.4801e-05, 0.3, 0.729, -0.729, 1
0.317, 0.001143748, 8.5053e-05, 0.3, 0.729, -0.729, 1
0.318, 0.001147248, 8.5313e-05, 0.3, 0.729, -0.729, 1
0.319, 0.001150918, 8.5573e-05, 0.3, 0.729, -0.729, 1
0.32, 0.001154408, 8.5843e-05, 0.3, 0.729, -0.729, 1
0.321, 0.001157978, 8.6113e-05, 0.3, 0.729, -0.729, 1
0.322, 0.001161528, 8.6363e-05, 0.3, 0.729, -0.729, 1
0.323, 0.001165038, 8.6623e-05, 0.3, 0.729, -0.729, 1
0.324, 0.001168588, 8.6873e-05, 0.3, 0.729, -0.729, 1
0.325, 0.001172048, 8.7133e-05, 0.3, 0.729, -0.729, 1
0.326, 0.001175738, 8.7404e-05, 0.3, 0.729, -0.729, 1
0.327, 0.001179267, 8.7675e-05, 0.3, 0.729, -0.729, 1
0.328, 0.001182827, 8.7934e-05, 0.3, 0.729, -0.729, 1
0.329, 0.001186278, 8.8193e-05, 0.3, 0.729, -0.729, 1
0.33, 0.001189907, 8.8453e-05, 0.3, 0.729, -0.729, 1
0.331, 0.001193397, 8.8705e-05, 0.3, 0.729, -0.729, 1
0.332, 0.001196957, 8.8946e-05, 0.3, 0.729, -0.729, 1
0.333, 0.001200418, 8.9206e-05, 0.3, 0.729, -0.729, 1
0.334, 0.001204087, 8.9456e-05, 0.3, 0.729, -0.729, 1
0.335, 0.001209748, 8.9706e-05, 0.3, 0.729, -0.729, 1
0.336, 0.001213367, 8.9965e-05, 0.3, 0.729, -0.729, 1
0.337, 0.001216827, 9.0225e-05, 0.3, 0.729, -0.729, 1
0.338, 0.001220408, 9.0497e-05, 0.3, 0.729, -0.729, 1
0.339, 0.001223968, 9.0767e-05, 0.3, 0.729, -0.729, 1
0.34, 0.001227558, 9.1027e-05, 0.3, 0.729, -0.729, 1
0.341, 0.001231128, 9.1297e-05, 0.3, 0.729, -0.729, 1
0.342, 0.001234658, 9.1567e-05, 0.3, 0.729, -0.729, 1
0.343, 0.001238278, 9.1827e-05, 0.3, 0.729, -0.729, 1
0.344, 0.001241908, 9.2087e-05, 0.3, 0.729, -0.729, 1
0.345, 0.001245428, 9.2347e-05, 0.3, 0.729, -0.729, 1
0.346, 0.001248908, 9.2617e-05, 0.3, 0.729, -0.729, 1
0.347, 0.001252369, 9.2867e-05, 0.3, 0.729, -0.729, 1
0.348, 0.0012559, 9.3117e-05, 0.3, 0.729, -0.729, 1
0.349, 0.0012595, 9.3376e-05, 0.3, 0.729, -0.729, 1
0.35, 0.00126297, 9.3633e-05, 0.3, 0.729, -0.729, 1
0.351, 0.00126659, 9.3905e-05, 0.3, 0.729, -0.729, 1
0.352, 0.00127012, 9.4167e-05, 0.3, 0.729, -0.729, 1
0.353, 0.001273731, 9.4429e-05, 0.3, 0.729, -0.729, 1
0.354, 0.001277201, 9.4688e-05, 0.3, 0.729, -0.729, 1
0.355, 0.00128077, 9.4948e-05, 0.3, 0.729, -0.729, 1
0.356, 0.001284349, 9.5207e-05, 0.3, 0.729, -0.729, 1
0.357, 0.001287918, 9.5478e-05, 0.3, 0.729, -0.729, 1
0.358, 0.001291388, 9.5728e-05, 0.3, 0.729, -0.729, 1
0.359, 0.001294828, 9.5987e-05, 0.3, 0.729, -0.729, 1
0.36, 0.001298308, 9.6247e-05, 0.3, 0.729, -0.729, 1
0.361, 0.001301908, 9.6507e-05, 0.3, 0.729, -0.729, 1
